상호,시도,시군구,소재지,전산보고여부
(유)고덕물류 직영주유소,전북특별자치도,전주시,전북특별자치도 전주시 덕진구 건산로201 (인후동1가) ,Y
(유)광영우리 알뜰주유소,전라남도,광양시,전라남도 광양시 광영로108 (광영동) ,Y
(유)구도일군산주유소,전북특별자치도,군산시,전북특별자치도 군산시 외항로83 (산북동) ,Y
(유)그린주유소,충청북도,청주시,충청북도 청주시 서원구 서부로1409 (개신동) ,Y
(유)남악아이씨개발 주유소,전라남도,무안군,전라남도 무안군 남악5로72번길81-55 (삼향읍) ,Y
(유)대성에너지,충청남도,보령시,충청남도 보령시 대천로254 (죽정동) ,Y
(유)디에스(DS) 셀프주유소,전북특별자치도,군산시,전북특별자치도 군산시 외항로259 (산북동) ,Y
(유)만남주유소,전라남도,해남군,전라남도 해남군 공룡대로3888 (옥천면) ,Y
(유)모우리주유소,광주광역시,광산구,광주광역시 광산구 소촌로68 (소촌동) ,Y
(유)신도시주유소,전라남도,나주시,전라남도 나주시 빛가람장성로2045 (금천면) ,Y
(유)에스에이치선원주유소,전라남도,여수시,전라남도 여수시 무선로113 (선원동) ,Y
(유)에스케이정웅,전라남도,광양시,전라남도 광양시 담안길58 (태인동) ,Y
(유)우리주유소,광주광역시,광산구,광주광역시 광산구 목련로225 (운남동) ,Y
(유)우진에너지,충청남도,보령시,충청남도 보령시 대해로294 (남곡동) ,Y
(유)익산주유소,전북특별자치도,익산시,전북특별자치도 익산시 익산대로1723 (함열읍) ,Y
(유)지석강주유소,전라남도,화순군,전라남도 화순군 화보로2555 (춘양면) ,Y
(유)착한주유소,광주광역시,북구,광주광역시 북구 동문대로452 (장등동) ,Y
(유)천진주유소,광주광역시,광산구,광주광역시 광산구 연산로239 (연산동) ,Y
(유)케이에스 동안주유소,충청북도,옥천군,충청북도 옥천군 매동로108 (옥천읍) ,Y
(유)팔복주유소,전북특별자치도,전주시,전북특별자치도 전주시 덕진구 기린대로714 (팔복동1가) ,Y
(유)하은에너지 우문가스충전주유소,전북특별자치도,전주시,전북특별자치도 전주시 덕진구 동부대로1273 (송천동2가) ,Y
(주) 프라임에너지 하남셀프주유소,경기도,하남시,경기도 하남시 신장로211 (덕풍동) ,Y
(주)CJH Energy 뉴신일주유소,강원특별자치도,강릉시,강원특별자치도 강릉시 경강로1889 (홍제동) ,Y
(주)GS이앤알 동일주유소,강원특별자치도,인제군,강원특별자치도 인제군 설악로2775 (북면) ,Y
(주)HC에너지 본리주유소,대구광역시,달서구,대구광역시 달서구 와룡로76 (본리동) ,Y
(주)HC에너지 연경2주유소,대구광역시,동구, 대구광역시 동구 동화천로 391 (지묘동),Y
(주)HC에너지 죽전주유소,대구광역시,달서구,대구광역시 달서구 와룡로150 (감삼동) ,Y
(주)SJY Energy 홍길동주유소,강원특별자치도,강릉시,강원특별자치도 강릉시 강릉대로161 (교동) ,Y
(주)가재울뉴타운주유소,서울특별시,서대문구,서울특별시 서대문구 모래내로205 (남가좌동) ,Y
(주)가호주유소,경상남도,진주시,경상남도 진주시 가호로64 (호탄동) ,Y
(주)강인산업개발,강원특별자치도,원주시,강원특별자치도 원주시 강변로685 (학성동) ,Y
(주)개봉오일,서울특별시,구로구,서울특별시 구로구 고척로115 (개봉동) ,Y
(주)갤럭시EnS,강원특별자치도,춘천시,강원특별자치도 춘천시 세실로20 (동내면) ,Y
(주)거산오일,충청남도,당진시,충청남도 당진시 덕평로1414 (신평면) ,Y
(주)경기에너지 뉴타운주유소,경기도,안성시,경기도 안성시 안성맞춤대로862 (계동) ,Y
(주)경선이엔지,경기도,양주시,경기도 양주시 호국로777 (장흥면) ,Y
(주)경인석유 고속도로 동명(부산)주유소,경상북도,칠곡군, 경상북도 칠곡군 동명면 가천리 60,Y
(주)경인석유 고속도로 동명(춘천)주유소,경상북도,칠곡군, 경상북도 칠곡군 동명면 가천리 85-2,Y
(주)경인석유 고속도로 외동(상)주유소,경상북도,경주시,경상북도 경주시 상석길58-70 (외동읍) ,Y
(주)경인석유 고속도로 외동(하)주유소,경상북도,경주시,경상북도 경주시 상석길58-74 (외동읍) ,Y
(주)경인석유 고속도로 진영(상)주유소,경상남도,김해시,경상남도 김해시 하계로96번길44-49 (진영읍) ,Y
(주)경인석유고속도로 건천(상)주유소,경상북도,경주시,경상북도 경주시 경부고속도로76-1 (건천읍) ,Y
(주)경훈에너지주유소,광주광역시,북구,광주광역시 북구 서하로237 (오치동) ,Y
(주)고신통상 여주주유소,경기도,여주시,경기도 여주시 여주남로722 (가남읍) ,Y
(주)광동유통 단양팔경(춘천)주유소,충청북도,단양군,충청북도 단양군 하방3길100 (단성면) ,Y
(주)광동티엘에스,경기도,화성시,경기도 화성시 삼존로59 (송산면) ,Y
(주)광명주유소,충청남도,천안시,충청남도 천안시 동남구 충절로451 (삼룡동) ,Y
(주)광역주유소,경기도,부천시,경기도 부천시 신흥로434 (내동) ,Y
(주)교현알뜰주유소,경기도,양주시,경기도 양주시 북한산로863 (장흥면) ,Y
(주)구도일 북진천지점,충청북도,진천군,충청북도 진천군 생거진천로2475 (광혜원면) ,Y
(주)구룡에너지,충청북도,청주시,충청북도 청주시 청원구 오창대로149 (오창읍) ,Y
(주)구암상사주유소,대전광역시,유성구,대전광역시 유성구 유성대로654번길32 (구암동) ,Y
(주)굿에너지,충청북도,청주시,충청북도 청주시 청원구 두릉유리로18 (오창읍) ,Y
(주)굿오일,충청북도,진천군,충청북도 진천군 생거진천로280-1 (문백면) ,Y
(주)굿이에프에너지 제일셀프주유소,충청북도,제천시,충청북도 제천시 내토로722 (교동) ,Y
(주)그레이스에너지,경기도,파주시,경기도 파주시 율곡로1466 (적성면) ,Y
(주)기지에너지,서울특별시,중랑구, 서울특별시 중랑구 용마산로712 (신내동),Y
(주)기흥산업(기흥에너지self주유소),경기도,용인시,경기도 용인시 기흥구 용구대로1624 (공세동) ,Y
(주)김포제2주유소,경기도,김포시,경기도 김포시 대곶북로347 (대곶면) ,Y
(주)나너울주유소,강원특별자치도,평창군,강원특별자치도 평창군 평창중앙로89 (평창읍) ,Y
(주)나이스디앤에스 금강(부산방향)주유소,충청북도,옥천군,충청북도 옥천군 금강로596 (동이면) ,Y
(주)나이스디앤에스 봉담주유소,경기도,화성시,경기도 화성시 동화역말길63 (봉담읍) ,Y
(주)나이스디앤에스 장안공원주유소,경기도,수원시,경기도 수원시 장안구 팔달로227 (영화동) ,Y
(주)나이스디앤에스경산(서울방향)주유소,경상북도,경산시,경상북도 경산시 대학로1089 (진량읍) ,Y
(주)남강 중앙로셀프주유소,대전광역시,중구,대전광역시 중구 중앙로64 (대흥동) ,Y
(주)남영전구 천안(부산)주유소,충청남도,천안시,충청남도 천안시 동남구 성남로793-40 (수신면) ,Y
(주)남영전구 청송(상주)주유소,경상북도,청송군,경상북도 청송군 중평병부길203-92 (파천면) ,Y
(주)남영전구 청송(영덕)주유소,경상북도,청송군,경상북도 청송군 중평병부길203-115 (파천면) ,Y
(주)너멍골,경기도,고양시,경기도 고양시 덕양구 호국로1259 (신원동) ,Y
(주)농협유통 하나로주유소,대전광역시,중구,대전광역시 중구 대둔산로199번길43 (안영동) ,Y
(주)농협하나로유통 농협성남유통센터,경기도,성남시,경기도 성남시 분당구 성남대로43번길11 (구미동) ,Y
(주)늘푸른제주 이호주유소,제주특별자치도,제주시,제주특별자치도 제주시 일주서로7629 (이호이동) ,Y
(주)능마을 보금자리주유소,경기도,구리시,경기도 구리시 경춘북로74 (갈매동) ,Y
(주)능마을 왕숙주유소,경기도,남양주시,경기도 남양주시 양진로556 (진건읍) ,Y
(주)다예 주유소,경상남도,창원시,경상남도 창원시 진해구 웅동로86 (마천동) ,Y
(주)다우피앤지 플러스주유소,충청북도,청주시,충청북도 청주시 서원구 무심서로451 (사직동) ,Y
(주)다원컴퍼니,대구광역시,서구,대구광역시 서구 국채보상로122 (중리동) ,Y
(주)대림주유소,대전광역시,서구,대전광역시 서구 계백로1290 (정림동) ,Y
(주)대명에너지,경기도,오산시,경기도 오산시 경기대로491 (수청동) ,Y
(주)대상에너지,충청남도,당진시,충청남도 당진시 현대제철로256 (송산면) ,Y
(주)대성길,강원특별자치도,강릉시,강원특별자치도 강릉시 칠성로187 (구정면) ,Y
(주)대성주유소,경기도,남양주시,경기도 남양주시 금강로596 (진건읍) ,Y
(주)대원 강변주유소,광주광역시,서구,광주광역시 서구 천변좌하로142 (치평동) ,Y
(주)대창석유 직영 공단주유소,광주광역시,광산구,광주광역시 광산구 사암로800 (도천동) ,Y
(주)대창석유 직영 남광주유소,광주광역시,남구,광주광역시 남구 서문대로799 (주월동) ,Y
(주)대창석유 직영 남창주유소,전라남도,해남군,전라남도 해남군 현산북평로1139 (북평면) ,Y
(주)대창석유 직영 대인주유소,전라남도,곡성군,전라남도 곡성군 곡성로796 (곡성읍) ,Y
(주)대창석유 직영 동명주유소,광주광역시,동구,광주광역시 동구 필문대로237 (동명동) ,Y
(주)대창석유 직영 삼학주유소,전라남도,목포시,전라남도 목포시 영산로668 (석현동) ,Y
(주)대창석유 직영 염주주유소,광주광역시,서구,광주광역시 서구 월드컵4강로120 (화정동) ,Y
(주)대창석유 직영 운암주유소,광주광역시,북구,광주광역시 북구 북문대로34 (운암동) ,Y
(주)대창석유 직영 지산주유소,광주광역시,동구,광주광역시 동구 필문대로219 (지산동) ,Y
(주)대창석유직영 월드컵주유소,광주광역시,남구,광주광역시 남구 금화로412 (월산동) ,Y
(주)대청산업개발 동해(삼척)주유소,강원특별자치도,동해시,강원특별자치도 동해시 동해대로6427 (망상동) ,Y
(주)대청산업개발 원주(춘천)주유소,강원특별자치도,원주시,강원특별자치도 원주시 마근거리길110 (호저면) ,Y
(주)대청산업개발 현풍(대구)주유소,대구광역시,달성군,대구광역시 달성군 중부내륙지선고속도로4 (현풍읍) ,Y
(주)대청산업개발 황전(순천)주유소,전라남도,순천시,전라남도 순천시 순천완주고속도로25 (황전면) ,Y
(주)대청에너지 중부권 MEGA HUB 터미널주유소,충청북도,진천군,충청북도 진천군 은암산단로246 (초평면) ,Y
(주)대현유통 문막(하)주유소,강원특별자치도,원주시,강원특별자치도 원주시 원문로1234 (문막읍) ,Y
(주)대현유통 횡성(서창)주유소,강원특별자치도,횡성군,강원특별자치도 횡성군 영동고속도로153-1 (안흥면) ,Y
(주)대호에너지,경기도,수원시,경기도 수원시 영통구 창룡대로442 (이의동) ,Y
(주)대호에너지 희망가득11주유소,경상북도,칠곡군,경상북도 칠곡군 칠곡대로713 (약목면) ,Y
(주)더블유케이에너지,부산광역시,사상구,부산광역시 사상구 백양대로480 (주례동) ,Y
(주)더웨이유통 선산(양평방향)주유소,경상북도,구미시,경상북도 구미시 중부내륙고속도로128-1 (옥성면) ,Y
(주)더웨이유통 선산(창원방향)주유소,경상북도,구미시,경상북도 구미시 중부내륙고속도로129-1 (옥성면) ,Y
(주)덕양에너지 직영 구덕산주유소,부산광역시,사상구,부산광역시 사상구 학감대로98 (학장동) ,Y
(주)덕양에너지 직영 굿모닝주유소,부산광역시,사상구,부산광역시 사상구 학감대로70 (학장동) ,Y
(주)도개휴게주유소,경상북도,구미시,경상북도 구미시 낙동대로3878 (도개면) ,Y
(주)동안에너지,경기도,남양주시,경기도 남양주시 북부간선로214 (다산동) ,Y
(주)동해주유소,경기도,포천시,경기도 포천시 호국로2659 (영중면) ,Y
(주)동행 행복주유소,광주광역시,광산구,광주광역시 광산구 북문대로364-5 (신창동) ,Y
(주)두창주유소,경기도,용인시,경기도 용인시 기흥구 언동로197 (중동) ,Y
(주)디오티디 김포햇님이주유소,경기도,김포시,경기도 김포시 대명항로530 (대곶면) ,Y
(주)디오티디 수원몬스터주유소,경기도,수원시,경기도 수원시 권선구 매송고색로789 (고색동) ,Y
(주)디오티디 파주태권브이주유소,경기도,파주시,경기도 파주시 평화로128 (금촌동) ,Y
(주)만수르에너지,충청남도,아산시, 충청남도 아산시 음봉로319,Y
(주)맥산주유소,강원특별자치도,양양군,강원특별자치도 양양군 동해대로2643 (양양읍) ,Y
(주)명보에너지,경기도,시흥시,경기도 시흥시 수인로2186 (조남동) ,Y
(주)명보주유소,경기도,가평군,경기도 가평군 석봉로237 (가평읍) ,Y
(주)모악산주유소,전북특별자치도,완주군,전북특별자치도 완주군 모악로3850 (구이면) ,Y
(주)무진에너지 플러스,경기도,김포시,경기도 김포시 김포대로1634 (양촌읍) ,Y
(주)문화셀프랜드주유소,충청남도,홍성군,충청남도 홍성군 내포로170 (홍성읍) ,Y
(주)미니이 주유소,경상남도,창원시,경상남도 창원시 마산회원구 3·15대로524 (회원동) ,Y
(주)미니이주유소,대구광역시,달성군,대구광역시 달성군 서재로31길2 (다사읍) ,Y
(주)미래아스팔트 신우주유소,서울특별시,서대문구,서울특별시 서대문구 가좌로106 (홍은동) ,Y
(주)민영 당진주유소,충청남도,당진시,충청남도 당진시 북부산업로258 (신평면) ,Y
(주)바이미 아름셀프주유소,세종특별자치시,세종시,세종특별자치시 세종로1328 (아름동) ,Y
(주)바이오시스 금왕(제천)주유소,충청북도,음성군,충청북도 음성군 평택제천고속도로70 (금왕읍) ,Y
(주)바이오시스 금왕(평택)주유소,충청북도,음성군,충청북도 음성군 평택제천고속도로69 (금왕읍) ,Y
(주)바이오시스 벌곡주유소,충청남도,논산시,충청남도 논산시 호남지선고속도로25 (벌곡면) ,Y
(주)바이오시스 와촌(하)주유소,경상북도,경산시,경상북도 경산시 강학길103 (와촌면) ,Y
(주)바이오시스 청통(상)주유소,경상북도,영천시,경상북도 영천시 청통로334-42 (청통면) ,Y
(주)바이펙스 교대주유소,부산광역시,동래구,부산광역시 동래구 여고로131 (사직동) ,Y
(주)박문석유 구월주유소,인천광역시,남동구,인천광역시 남동구 인주대로512 (구월동) ,Y
(주)발산주유소,경기도,시흥시,경기도 시흥시 계수로79 (계수동) ,Y
(주)백곡주유소,충청북도,진천군,충청북도 진천군 백곡로926 (백곡면) ,Y
(주)백두가스산업,강원특별자치도,강릉시,강원특별자치도 강릉시 동해대로4357 (연곡면) ,Y
(주)백마주유소,충청남도,천안시, 충청남도 천안시 동남구 신방남부길87-1,Y
(주)백운주유소,서울특별시,금천구,서울특별시 금천구 시흥대로282 (독산동) ,Y
(주)백운주유소 인천점,인천광역시,미추홀구,인천광역시 미추홀구 아암대로128 (용현동) ,Y
(주)범화 오창(하남)주유소,충청북도,청주시,충청북도 청주시 청원구 중부고속도로22 (오창읍) ,Y
(주)복연주유소,경기도,평택시,경기도 평택시 남북대로910 (청룡동) ,Y
(주)부강에너지,경상남도,창녕군,경상남도 창녕군 경남대로4623 (창녕읍) ,Y
(주)부영에너지,경기도,용인시,경기도 용인시 기흥구 사은로169 (지곡동) ,Y
(주)부자 군위(상)주유소,대구광역시,군위군,대구광역시 군위군 경북대로4084 (군위읍) ,Y
(주)부자 군위(하)주유소,대구광역시,군위군,대구광역시 군위군 경북대로4082 (군위읍) ,Y
(주)부자 송산주유소(시흥방향),경기도,화성시,경기도 화성시 평택시흥고속도로25 (송산면) ,Y
(주)부자 송산주유소(평택방향),경기도,화성시,경기도 화성시 평택시흥고속도로25 (송산면) ,Y
(주)부자 충주(상)주유소,충청북도,충주시,충청북도 충주시 중부내륙고속도로230-1 (중앙탑면) ,Y
(주)붕붕붕주유소,강원특별자치도,춘천시,강원특별자치도 춘천시 공지로156-3 (석사동) ,Y
(주)블루원에너지 직영 성산대교주유소,서울특별시,마포구,서울특별시 마포구 성산로144 (성산동) ,Y
(주)비지에프휴먼넷 구정(삼척방향)주유소,강원특별자치도,강릉시,강원특별자치도 강릉시 동해고속도로345-1 (구정면) ,Y
(주)비지에프휴먼넷 치악(부산방향)주유소,강원특별자치도,원주시,강원특별자치도 원주시 치악로416 (신림면) ,Y
(주)비지에프휴먼넷 치악(춘천방향)주유소,강원특별자치도,원주시,강원특별자치도 원주시 다리실2길32 (신림면) ,Y
(주)산호청정오일 구도일주유소 채운,충청남도,논산시,충청남도 논산시 계백로640 (채운면) ,Y
(주)삼경쉼터,경상남도,밀양시,경상남도 밀양시 제대2길14 (부북면) ,Y
(주)삼보 명진셀프주유소,부산광역시,동래구,부산광역시 동래구 충렬대로51 (온천동) ,Y
(주)삼보 부림셀프주유소,부산광역시,북구,부산광역시 북구 만덕대로343 (만덕동) ,Y
(주)삼성대로주유소,충청남도,천안시,충청남도 천안시 서북구 번영로446 (성성동) ,Y
(주)삼표에너지 고덕주유소,서울특별시,강동구,서울특별시 강동구 고덕로39 (암사동) ,Y
(주)삼표에너지 고읍주유소,경기도,양주시,경기도 양주시 부흥로1941 (광사동) ,Y
(주)삼표에너지 군포스타주유소,경기도,군포시,경기도 군포시 고산로688 (산본동) ,Y
(주)삼표에너지 동해주유소,경기도,고양시,경기도 고양시 덕양구 중앙로110 (화전동) ,Y
(주)삼표에너지 목동주유소,서울특별시,양천구,서울특별시 양천구 목동서로129 (목동) ,Y
(주)삼표에너지 보정주유소,경기도,용인시,경기도 용인시 기흥구 용구대로2469번길150 (보정동) ,Y
(주)삼표에너지 산본그린주유소,경기도,군포시,경기도 군포시 군포로231 (부곡동) ,Y
(주)삼표에너지 삼송주유소,경기도,고양시,경기도 고양시 덕양구 신원1로93 (신원동) ,Y
(주)삼표에너지 삼표주유소,경기도,부천시,경기도 부천시 부흥로317 (중동) ,Y
(주)삼표에너지 신성주유소,경기도,평택시,경기도 평택시 서동대로2796 (고덕면) ,Y
(주)삼표에너지 아시아주유소,서울특별시,송파구,서울특별시 송파구 도곡로438 (잠실동) ,Y
(주)삼표에너지 야탑주유소,경기도,성남시,경기도 성남시 분당구 돌마로910 (야탑동) ,Y
(주)삼표에너지 우리주유소,서울특별시,송파구,서울특별시 송파구 동남로153 (가락동) ,Y
(주)삼표에너지 정릉주유소,서울특별시,성북구,서울특별시 성북구 보국문로35 (정릉동) ,Y
(주)삼표에너지 훼미리주유소,서울특별시,송파구,서울특별시 송파구 중대로58 (문정동) ,Y
(주)삼호 SW주유소,경기도,시흥시,경기도 시흥시 시화벤처로358 (정왕동) ,Y
(주)삼화에너지 차령주유소,충청남도,공주시,충청남도 공주시 차령로3952-18 (정안면) ,Y
(주)삼화에너지일월,충청남도,공주시,충청남도 공주시 차령로3953 (정안면) ,Y
(주)삼화주유소,경기도,오산시,경기도 오산시 경기대로692 (내삼미동) ,Y
(주)상일주유소,충청북도,청주시,충청북도 청주시 서원구 청남로1162 (남이면) ,Y
(주)서림주유소,충청북도,충주시,충청북도 충주시 형설로102 (용산동) ,Y
(주)서울에너지,인천광역시,부평구,인천광역시 부평구 경원대로1049 (십정동) ,Y
(주)서울에너지 궁동주유소,서울특별시,구로구,서울특별시 구로구 오리로1299 (궁동) ,Y
(주)서울에너지 서인천주유소,인천광역시,서구,인천광역시 서구 서곶로346 (연희동) ,Y
(주)서울에너지 시민주유소,서울특별시,강북구,서울특별시 강북구 인수봉로185 (수유동) ,Y
(주)서원 구정(속초방향)주유소,강원특별자치도,강릉시,강원특별자치도 강릉시 동해고속도로346 (구정면) ,Y
(주)서원 안성맞춤(평택)주유소,경기도,안성시,경기도 안성시 평택제천고속도로41 (서운면) ,Y
(주)서율주유소,경기도,용인시,경기도 용인시 기흥구 어정로52 (상하동) ,Y
(주)서율주유소 석수점,경기도,안양시,경기도 안양시 만안구 안양로574 (석수동) ,Y
(주)서율주유소 안산점,경기도,안산시,경기도 안산시 상록구 해안로1295 (팔곡이동) ,Y
(주)석교주유소,대전광역시,중구,대전광역시 중구 대종로207 (석교동) ,Y
(주)석산에너지,서울특별시,강북구,서울특별시 강북구 삼양로316 (수유동) ,Y
(주)석산에너지 민국주유소,인천광역시,서구,인천광역시 서구 봉수대로254 (가좌동) ,Y
(주)석산에너지 태양주유소,인천광역시,서구,인천광역시 서구 중봉대로378 (원창동) ,Y
(주)선경오일,경기도,광주시,경기도 광주시 경충대로426 (곤지암읍) ,Y
(주)선인상사 예산(당진방향)주유소,충청남도,예산군,충청남도 예산군 당진영덕고속도로33 (신양면) ,Y
(주)선인상사 예산(대전방향)주유소,충청남도,예산군,충청남도 예산군 당진영덕고속도로34 (신양면) ,Y
(주)선인상사 홍천강(춘천방향)주유소,강원특별자치도,홍천군,강원특별자치도 홍천군 도사곡길223 (북방면) ,Y
(주)선진주유소,서울특별시,강남구,서울특별시 강남구 도곡로162 (도곡동) ,Y
(주)성후산업 장수IC주유소,광주광역시,광산구,광주광역시 광산구 고봉로238 (장수동) ,Y
(주)세지에너지-시화셀프주유소,경기도,시흥시,경기도 시흥시 서해안로120 (정왕동) ,Y
(주)소명에너지스 경암주유소,울산광역시,중구,울산광역시 중구 북부순환도로147 (태화동) ,Y
(주)소명에너지스 웅촌주유소,울산광역시,울주군,울산광역시 울주군 웅촌로724 (웅촌면) ,Y
(주)소모 과학셀프주유소,부산광역시,강서구,부산광역시 강서구 과학산단로297 (지사동) ,Y
(주)소모 뉴평내셀프주유소,경기도,남양주시,경기도 남양주시 경춘로1272 (평내동) ,Y
(주)소모 동양7주유소,인천광역시,부평구,인천광역시 부평구 경인로1130 (일신동) ,Y
(주)소모 동화주유소,경기도,성남시,경기도 성남시 분당구 돌마로176 (정자동) ,Y
(주)소모 성내주유소,서울특별시,강동구,서울특별시 강동구 올림픽로578 (성내동) ,Y
(주)소모 송탄주유소,경기도,평택시,경기도 평택시 삼남로445 (장안동) ,Y
(주)소모 신월주유소,서울특별시,강동구,서울특별시 강동구 양재대로1323 (성내동) ,Y
(주)소모 쎈트럴주유소,서울특별시,강남구,서울특별시 강남구 삼성로335 (대치동) ,Y
(주)소모 아산둔포주유소,충청남도,아산시,충청남도 아산시 장영실로1292 (둔포면) ,Y
(주)소모 안산하이웨이주유소,경기도,안산시,경기도 안산시 상록구 안산천서로263 (월피동) ,Y
(주)소모 장유셀프주유소,경상남도,김해시,경상남도 김해시 덕정로103 (관동동) ,Y
(주)송만에너지 도봉제일주유소,서울특별시,도봉구,서울특별시 도봉구 도봉로783 (도봉동) ,Y
(주)수원창신주유소,경기도,수원시,경기도 수원시 권선구 금호로74 (호매실동) ,Y
(주)스마일셀프주유소,광주광역시,광산구,광주광역시 광산구 고봉로541 (산막동) ,Y
(주)스마트오일,경기도,평택시,경기도 평택시 경기대로1905 (진위면) ,Y
(주)스타코엑스 별표주유소점,제주특별자치도,제주시,제주특별자치도 제주시 연삼로79 (오라삼동) ,Y
(주)스피드에너지,광주광역시,북구,광주광역시 북구 빛고을대로849 (지야동) ,Y
(주)스피드주유소,광주광역시,북구,광주광역시 북구 설죽로226 (용봉동) ,Y
(주)승일배춘주유소,경상남도,사천시,경상남도 사천시 두량로66 (축동면) ,Y
(주)승진에너지 거창담양방향주유소,경상남도,거창군,경상남도 거창군 가조가야로1543-81 (가조면) ,Y
(주)승진에너지 거창대구방향주유소,경상남도,거창군,경상남도 거창군 가조가야로1523 (가조면) ,Y
(주)시블링스 우리1주유소,부산광역시,사상구,부산광역시 사상구 백양대로701 (덕포동) ,Y
(주)시블링스 우리2주유소,부산광역시,강서구,부산광역시 강서구 낙동북로142 (강동동) ,Y
(주)시큐,부산광역시,강서구,부산광역시 강서구 체육공원로66 (대저1동) ,Y
(주)시큐 국제산단주유소,부산광역시,강서구,부산광역시 강서구 생곡로272 (생곡동) ,Y
(주)신명에너지 창녕지점,경상남도,창녕군,경상남도 창녕군 경남대로5742-6 (성산면) ,Y
(주)신용구도일주유소 화랑로,서울특별시,성북구,서울특별시 성북구 화랑로174 (상월곡동) ,Y
(주)신화성주유소,경기도,화성시,경기도 화성시 포승향남로1554 (우정읍) ,Y
(주)신화에너지 번개셀프주유소,충청북도,청주시,충청북도 청주시 상당구 1순환로1202-2 (방서동) ,Y
(주)신화에너지 오해피주유소,충청북도,청주시,충청북도 청주시 서원구 구룡산로217 (산남동) ,Y
(주)신화에너지서울 박물관주유소,충청북도,진천군,충청북도 진천군 생거진천로1399 (진천읍) ,Y
(주)신화에너지서울 오창관문주유소,충청북도,청주시,충청북도 청주시 청원구 양청농소길102 (오창읍) ,Y
(주)실로암주유소,경기도,김포시,경기도 김포시 개화동로46 (고촌읍) ,Y
(주)썬엘 벌곡(상)주유소,충청남도,논산시,충청남도 논산시 벌곡로9-58 (벌곡면) ,Y
(주)썬엘 청주(서울)주유소,충청북도,청주시,충청북도 청주시 흥덕구 경부고속도로318-1 (옥산면) ,Y
(주)썬엘 칠서(상)주유소·충전소,경상남도,함안군,경상남도 함안군 계룡로122 (칠서면) ,Y
(주)아성통상 당진 직영주유소,충청남도,당진시,충청남도 당진시 서해로4912 (정미면) ,Y
(주)아성통상 아성당진1직영주유소,충청남도,당진시,충청남도 당진시 서해로4909 (정미면) ,Y
(주)아스트로주유소,대구광역시,북구,대구광역시 북구 팔달로215 (노원동2가) ,Y
(주)안국에너지 망원동주유소,서울특별시,마포구,서울특별시 마포구 월드컵로119 (망원동) ,Y
(주)안국에너지 삼보주유소,서울특별시,서대문구,서울특별시 서대문구 연희로78 (연희동) ,Y
(주)안국에너지 삼원주유소,서울특별시,동대문구,서울특별시 동대문구 망우로90 (휘경동) ,Y
(주)안국에너지 서진주유소,경기도,안양시,경기도 안양시 만안구 안양로425 (안양동) ,Y
(주)안국에너지 우신주유소,광주광역시,북구,광주광역시 북구 동문대로218 (각화동) ,Y
(주)안양석유,경기도,안양시,경기도 안양시 만안구 경수대로1374 (석수동) ,Y
(주)알뜰함양주유소,경상남도,함양군,경상남도 함양군 함양로804 (함양읍) ,Y
(주)어울림주유소,경기도,고양시,경기도 고양시 덕양구 충장로407 (화정동) ,Y
(주)어하둥둥알뜰주유소,경기도,양주시,경기도 양주시 부흥로1300 (유양동) ,Y
(주)에너지영신,대구광역시,북구,대구광역시 북구 호국로729 (학정동) ,Y
(주)에버에너지 갈담주유소,경기도,용인시,경기도 용인시 처인구 백옥대로2177 (모현읍) ,Y
(주)에스에이치에너지 신갈현대셀프주유소,경기도,용인시,경기도 용인시 기흥구 신수로69 (신갈동) ,Y
(주)에스엠넷 대전이데아주유소,대전광역시,대덕구,대전광역시 대덕구 한밭대로1145 (중리동) ,Y
(주)에스엠서비스토탈 기흥꽃길주유소,경기도,용인시,경기도 용인시 기흥구 용구대로1701 (공세동) ,Y
(주)에스케이셀프서비스주유소,인천광역시,미추홀구,인천광역시 미추홀구 소성로32 (용현동) ,Y
(주)에이치앤디이 서울만남의광장주유소,서울특별시,서초구,서울특별시 서초구 양재대로12길73-71 (원지동) ,Y
(주)에이치앤씨커머스,경기도,평택시,경기도 평택시 경기대로927 (모곡동) ,Y
(주)에이치케이하이웨이 평택(제천방향)주유소,경기도,평택시,경기도 평택시 평택제천고속도로6 (청북읍) ,Y
(주)에이치케이하이웨이 평택(평택방향)주유소,경기도,평택시,경기도 평택시 평택제천고속도로6 (청북읍) ,Y
(주)엘아이지휴세코 희망주유소,경기도,고양시,경기도 고양시 일산서구 경의로910 (덕이동) ,Y
(주)엘제이에너지,경기도,이천시,경기도 이천시 경충대로2268 (부발읍) ,Y
(주)여수중앙주유소,전라남도,여수시,전라남도 여수시 소호로622 (학동) ,Y
(주)여정 광양만주유소,전라남도,광양시,전라남도 광양시 강변로281 (옥곡면) ,Y
(주)영광에너지영광셀프주유소,경기도,포천시,경기도 포천시 금강로2182 (내촌면) ,Y
(주)오늘에너지 명품점,경기도,이천시,경기도 이천시 중부대로2014 (부발읍) ,Y
(주)오늘에너지 백암점,경기도,용인시,경기도 용인시 처인구 죽양대로1399 (백암면) ,Y
(주)오늘에이엠씨 오일뱅크,경기도,이천시,경기도 이천시 경충대로1960 (대월면) ,Y
(주)오림이사 삼각그린주유소,광주광역시,북구,광주광역시 북구 설죽로421 (삼각동) ,Y
(주)오일석유,울산광역시,울주군,울산광역시 울주군 경부고속도로44 (언양읍) ,Y
